idx,timestamp,action,delta_before,delta_after,delta_change,quantity_traded,PnL_closing_futures,PnL_closing_options,PnL_total
237,2020/05/11 13:18:00.003,sell,0.7730126739978687,-0.22698732600213134,-1,1,-148.8000000000029,-205.0,-353.8000000000029
238,2020/05/11 13:19:00.002,buy,-0.8920520750680154,0.10794792493198457,1,1,-116.89999999999418,-160.0,-276.8999999999942
239,2020/05/11 13:20:00.176,sell,0.9499375859724495,-0.05006241402755052,-1,1,-164.79999999999563,-225.0,-389.79999999999563
242,2020/05/11 13:23:00.006,buy,-0.631763537166691,0.368236462833309,1,1,-141.75,-235.0,-376.75
246,2020/05/11 13:27:00.336,buy,-0.591868146039829,0.40813185396017104,1,1,-79.70000000000437,-175.0,-254.70000000000437
247,2020/05/11 13:28:00.023,sell,0.9972366822244112,-0.0027633177755888028,-1,1,-118.99999999999272,-145.0,-263.9999999999927
251,2020/05/11 13:32:00.018,sell,0.7232635011577528,-0.27673649884224716,-1,1,-163.39999999999418,-155.0,-318.3999999999942
254,2020/05/11 13:36:00.109,buy,-0.7739586141056662,0.22604138589433376,1,1,-144.09999999999127,-170.0,-314.09999999999127
255,2020/05/11 13:37:00.078,sell,0.6983907307635278,-0.30160926923647224,-1,1,-170.70000000000437,-110.0,-280.70000000000437
257,2020/05/11 13:39:00.000,buy,-0.8043282813674253,0.1956717186325747,1,1,-147.14999999999418,-135.0,-282.1499999999942
258,2020/05/11 13:40:00.014,sell,0.5768080365268702,-0.4231919634731298,-1,1,-166.35000000000582,-175.0,-341.3500000000058
260,2020/05/11 13:42:00.232,buy,-0.9009464871344122,0.09905351286558783,1,1,-146.25,-170.0,-316.25
262,2020/05/11 13:44:00.006,sell,0.6646489162091456,-0.33535108379085443,-1,1,-177.90000000000146,-30.0,-207.90000000000146
264,2020/05/11 13:46:00.014,sell,2.025281816396557,0.025281816396557133,-2,2,-307.40000000000146,20.0,-287.40000000000146
267,2020/05/11 13:49:00.199,buy,-0.5078136427417093,0.49218635725829074,1,1,-293.0500000000029,-160.0,-453.0500000000029
268,2020/05/11 13:50:00.000,sell,0.7362251856041127,-0.26377481439588735,-1,1,-301.0,-270.0000000000073,-571.0000000000073
278,2020/05/11 14:01:00.260,buy,-1.2199385487511805,-0.21993854875118046,1,1,-269.90000000000146,-170.0,-439.90000000000146
282,2020/05/11 14:05:00.380,sell,1.1746291591909497,0.17462915919094968,-1,1,-332.29999999999563,-180.0,-512.2999999999956
285,2020/05/11 14:08:00.190,sell,0.5911147249736644,-0.40888527502633565,-1,1,-347.5499999999993,-205.0,-552.5499999999993
288,2020/05/11 14:11:00.131,buy,-0.558850693487372,0.44114930651262796,1,1,-344.1499999999978,-190.0,-534.1499999999978
289,2020/05/11 14:12:00.094,sell,1.2789561904280262,0.2789561904280262,-1,1,-374.34999999999854,-250.0,-624.3499999999985
290,2020/05/11 14:13:00.080,sell,0.7337780362879016,-0.2662219637120984,-1,1,-387.04999999999563,-170.0,-557.0499999999956
291,2020/05/11 14:14:00.047,sell,0.919228369498633,-0.08077163050136704,-1,1,-408.49999999999636,-105.0,-513.4999999999964
293,2020/05/11 14:16:00.122,sell,0.71970256113255,-0.28029743886744996,-1,1,-416.9499999999971,-150.0,-566.9499999999971
294,2020/05/11 14:17:00.005,buy,-0.8407948132062302,0.15920518679376983,1,1,-414.9499999999971,-25.0,-439.9499999999971
299,2020/05/11 14:22:00.073,buy,-0.7447909022294326,0.25520909777056744,1,1,-409.1999999999971,5.0,-404.1999999999971
300,2020/05/11 14:23:00.017,sell,0.755060534728571,-0.24493946527142896,-1,1,-419.1999999999989,70.0,-349.1999999999989
304,2020/05/11 14:27:00.245,buy,-0.9876251236178959,0.012374876382104105,1,1,-412.79999999999745,120.0,-292.79999999999745
307,2020/05/11 14:30:00.800,sell,0.9282619235549845,-0.07173807644501551,-1,1,-430.399999999996,220.0,-210.399999999996
308,2020/05/11 14:31:00.092,sell,1.190159963255553,0.19015996325555307,-1,1,-442.5999999999967,260.0,-182.59999999999673
311,2020/05/11 14:34:00.148,sell,1.0713858376345655,0.07138583763456552,-1,1,-442.9499999999971,375.0,-67.94999999999709
314,2020/05/11 14:37:00.013,buy,-0.8791855481273458,0.12081445187265416,1,1,-449.2999999999993,420.0,-29.299999999999272
314,2020/05/11 14:37:00.013,buy,0.12081445187265416,0.12081445187265416,0,0,-452.0999999999967,420.0,-32.099999999996726
314,2020/05/11 14:37:00.013,SHORT EXIT : RESPONSE EXIT_L,,,,,,,
319,2020/05/11 14:42:00.672,SHORT START : NEUTRAL,,,,,,,
319,2020/05/11 14:42:00.672,buy,-3.199320060110786,-0.19932006011078585,3,3,4.799999999995634,-165.0,-160.20000000000437
320,2020/05/11 14:43:00.198,sell,0.7153733302084007,-0.28462666979159934,-1,1,-22.749999999996362,-160.0,-182.74999999999636
325,2020/05/11 14:49:00.001,sell,0.8088404844683339,-0.1911595155316661,-1,1,-40.44999999999709,80.0,39.55000000000291
326,2020/05/11 14:50:00.005,sell,1.066038559462008,0.0660385594620081,-1,1,-50.39999999999782,75.0,24.600000000002183
327,2020/05/11 14:51:00.021,sell,0.6359641349292673,-0.3640358650707327,-1,1,-51.19999999999709,-100.0,-151.1999999999971
330,2020/05/11 14:54:00.259,buy,-1.1724677547088902,-0.1724677547088902,1,1,-55.49999999999636,-30.0,-85.49999999999636
332,2020/05/11 14:56:00.311,sell,0.791107363989866,-0.20889263601013397,-1,1,-58.44999999999709,40.0,-18.44999999999709
336,2020/05/11 15:00:00.000,sell,1.749813744922129,-0.25018625507787107,-2,2,-46.39999999999418,-230.0,-276.3999999999942
341,2020/05/11 15:06:00.270,sell,2.3880216569897783,0.3880216569897783,-2,2,13.85000000000582,-550.0,-536.1499999999942
342,2020/05/11 15:07:00.000,sell,1.1049880454601464,0.1049880454601464,-1,1,36.90000000000873,-580.0,-543.0999999999913
343,2020/05/11 15:08:00.060,buy,-0.8116856283692542,0.18831437163074582,1,1,5.750000000014552,-500.0,-494.24999999998545
344,2020/05/11 15:09:00.098,buy,-0.8500323876173113,0.14996761238268874,1,1,-39.250000000007276,-260.0,-299.2500000000073
350,2020/05/11 15:15:00.316,buy,-0.8477993078612371,0.15220069213876286,1,1,-67.09999999999854,-660.0,-727.0999999999985
355,2020/05/11 15:20:00.002,buy,-0.6887614688674901,0.3112385311325099,1,1,-87.99999999999272,-550.0,-637.9999999999927
357,2020/05/11 15:22:00.111,sell,0.5958901331845752,-0.4041098668154248,-1,1,-89.84999999999854,-635.0,-724.8499999999985
359,2020/05/11 15:25:00.108,buy,-0.5906098090634231,0.4093901909365769,1,1,-89.94999999999709,-650.0,-739.9499999999971
360,2020/05/11 15:26:00.006,sell,0.61552257248686,-0.38447742751313996,-1,1,-89.89999999999418,-605.0,-694.8999999999942
361,2020/05/11 15:27:00.002,buy,-0.6658598094229902,0.33414019057700983,1,1,-95.69999999999709,-455.0,-550.6999999999971
363,2020/05/11 15:29:00.000,sell,0.9224043659919801,-0.07759563400801994,-1,1,-87.3499999999949,-715.0,-802.3499999999949
